x,y,c,w,h,r,alpha,type
203.9147,94.13346,-13312928,0.0,3.0569701,1.7505431,136.99944,0
145.11182,14.85116,-13081847,0.12237978,11.26055,6.2831855,121.3412,0
211.45671,15.972862,-15007683,1.5079806,8.072298,0.4442846,44.77487,0
47.85966,40.841778,-12893831,16.378632,14.623265,1.1957804,216.68544,1
30.782192,63.154705,-9460557,0.0,13.271022,0.012188125,78.23743,0
176.45192,109.37944,-1388352,20.0,12.262708,0.7967942,111.44434,1
0.77651596,108.29121,-4609115,19.301987,0.0,2.3851657,113.31186,0
124.973206,101.9226,-4490778,17.900152,19.547554,2.6074903,60.64154,1
10.44508,28.325933,-9098387,13.970514,4.7144995,6.2831855,40.2442,0
106.63288,76.68705,-2865851,20.0,15.283571,3.8990335,31.659023,0
158.82277,80.515915,-5141064,11.476853,20.0,3.7920952,63.732933,1
215.87077,99.84975,-15848610,11.972704,20.0,0.0,146.74625,1
165.95184,62.847656,-2253354,15.958839,5.8450236,2.1197968,127.956215,1
147.24277,42.665962,-7492670,17.561888,11.421752,3.4931893,129.45285,0
159.70506,69.593636,-4558442,0.8377743,0.0,1.7003456,103.89532,1
58.37445,22.139132,-3895802,0.0,1.6798818,5.6594276,46.84892,1
156.53452,91.722755,-3262339,20.0,8.543266,6.068513,83.422424,1
138.83618,76.73703,-3516648,14.324064,0.6327275,6.2831855,79.98835,1
162.35258,88.66736,-9655001,17.946201,0.0,1.8476508,167.52176,1
213.96045,93.3753,-14267793,10.345057,3.504792,1.873264,227.3531,1
191.15686,0.0,-13242069,0.8195118,5.3162274,6.2831855,41.259132,0
81.968155,44.99704,-6946595,7.324776,20.0,4.2393217,0.11339888,1
154.31009,0.64724696,-5882226,20.0,4.980183,3.4806376,88.34083,1
58.381294,107.47894,-10579373,6.8221188,4.25544,3.3659558,10.38434,1
56.159843,26.390202,-5081733,15.176001,0.054815367,0.0,10.168196,1
46.536957,50.897392,-15398566,0.0,1.2405514,3.705906,244.94455,0
216.0,104.98092,-6418016,11.593701,14.090529,6.2831855,136.52496,0
149.55943,0.0,-6832966,15.735764,18.857014,6.1609592,67.02839,0
202.32451,50.079582,-10132527,14.03395,20.0,1.8003459,86.79344,1
116.863754,51.52101,-4824576,7.4338293,15.730825,0.0,84.409134,1
213.55324,110.731186,-6308272,9.716156,0.0,4.2651234,253.84215,1
100.5241,11.640941,-902649,0.0,15.292908,0.5566311,16.314978,0
173.13817,102.6988,-5664152,4.468876,16.101416,2.5079381,97.42944,0
137.92946,70.03291,-7208957,18.809032,2.8201928,1.8467069,46.53864,1
108.97085,79.73013,-4501116,0.0,4.93475,5.6748104,41.88977,1
118.83047,102.66553,-6603738,0.0,14.348124,3.0686064,94.94582,1
154.9146,19.270834,-1613896,16.02514,11.69255,0.99636614,22.376892,1
157.38126,104.87581,-3698848,0.4503951,16.705662,0.7899656,44.869637,1
196.87805,108.166374,-16726428,0.0,2.7807527,2.2877717,88.814674,1
38.12921,56.88735,-14987692,11.296409,15.271372,0.0,41.63328,1
202.09433,28.837301,-12894038,7.516325,3.3889441,4.1377015,143.24763,1
165.92468,112.829254,-7835481,18.06407,17.981558,1.013745,134.74028,0
83.56381,30.866465,-16743086,5.858738,2.975293,2.6358008,42.892452,1
203.73235,106.88108,-11889487,5.635949,17.661768,4.9800186,108.473564,0
191.66982,76.58835,-11939880,17.59405,16.379719,0.07249899,16.809305,0
126.60603,6.2188416,-9874661,17.255644,12.039053,2.656952,22.175785,1
168.49402,35.30454,-7110547,6.763748,0.2987168,3.8830795,28.08008,1
104.020615,23.758669,-10236455,0.044770494,0.7560144,5.7026806,23.857075,1
73.99615,32.042324,-4144732,15.440126,11.736538,1.250526,52.923084,0
105.08794,12.716424,-9207006,8.166353,2.042976,1.8654907,56.641262,1
47.807945,73.89571,-7552623,11.437454,2.9572327,2.117794,25.4899,0
198.68388,9.990618,-16341922,3.3966975,0.73231715,0.0,130.5943,1
55.024715,94.04882,-7936568,18.622576,20.0,2.2882814,14.32319,0
92.322556,69.239944,-8160083,2.9461455,0.0,3.1072254,120.36447,1
211.81412,112.37437,-14737610,20.0,19.756123,1.8018914,49.044777,0
150.47934,41.114613,-6521418,13.71965,15.040115,0.109523445,50.21718,1
118.140564,20.533228,-8894086,15.211763,11.9408455,0.38208973,26.927423,1
43.49715,94.86054,-10715554,0.19963399,0.0,2.081642,221.2381,0
88.493706,113.40934,-12538772,0.0,8.51442,1.4811347,176.28754,1
153.3561,51.88942,-84764,3.99743,15.800724,0.0,54.780735,1
84.64316,29.927,-5128638,1.2628193,0.0,4.1324883,250.71896,1
172.02586,104.257675,-5986695,6.7683687,15.7000065,3.3624597,123.79967,0
177.35294,44.553658,-11543061,10.116692,5.1678443,3.587981,36.17284,1
49.73352,18.115765,-12282118,20.0,17.199444,1.2638748,15.375006,1
162.04733,85.26251,-12028776,9.521111,9.947593,4.5597043,48.446815,0
149.39758,57.99026,-7896024,12.151821,11.534562,3.7694237,84.70562,1
7.186166,52.535465,-16727495,0.7341728,16.31814,1.3862028,23.508087,1
123.2478,94.570045,-16689379,8.020646,20.0,0.0,39.11182,1
66.08808,81.64564,-16297141,0.48903072,17.47802,3.0676668,166.91139,0
192.97809,21.913021,-8908223,6.738661,8.149171,2.873679,31.73708,0
196.04245,5.398636,-6711864,0.0,18.184393,0.37007466,17.444994,1
149.27087,104.21374,-3555050,17.28041,10.234986,2.2457776,21.01649,0
80.01199,113.85961,-13999340,18.541714,12.645269,6.2831855,3.2001212,1
176.50774,108.49598,-1280306,1.1327975,3.168088,5.5560102,202.49815,0
98.04447,98.37358,-8037692,15.438628,6.498144,3.8483782,20.772604,1
142.6718,1.2322185,-6782455,11.406444,16.947851,3.6656213,38.431076,1
179.83691,114.08414,-11241860,19.173113,14.618823,0.39147183,104.615204,0
120.93551,6.9714384,-11374718,20.0,17.760872,5.6308074,105.09828,1
98.46202,108.20316,-4252129,1.1983978,13.101205,0.92095137,138.75066,1
134.67844,12.354528,-3113075,20.0,0.0,2.0170634,135.0264,1
17.33591,59.590908,-14966144,5.727422,13.623749,4.090588,44.953144,1
4.7235246,79.40696,-9342854,2.2314,11.441675,3.7625763,89.691574,0
25.83208,94.58008,-11248751,1.9356953,3.844684,3.4151642,21.385344,0
19.391573,0.097752094,-11106267,15.231447,2.063883,0.4856626,185.036,1
